*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACBAT19     GHOAN   OK      AUG08/97                                            
ACBAT1A     GHOAN   OK      AUG08/97                                            
ACBAT1B     GHOAN   OK      AUG08/97                                            
ACBAT1E     GHOAN   OK      AUG08/97                                            
ACBAT1F     GHOAN   OK      AUG08/97                                            
ACBAT21     GHOAN   OK      AUG08/97                                            
ACBAT22     GHOAN   OK      AUG08/97                                            
ACBAT23     GHOAN   OK      AUG08/97                                            
ACBAT24     GHOAN   OK      AUG08/97                                            
ACBAT25     GHOAN   OK      AUG08/97                                            
ACBAT26     GHOAN   OK      AUG08/97                                            
ACBAT2D     GHOAN   OK      AUG08/97                                            
ACBAT2E     GHOAN   OK      AUG08/97                                            
ACBAT2F     GHOAN   OK      AUG08/97                                            
ACBAT31     GHOAN   OK      AUG08/97                                            
ACBAT33     GHOAN   OK      AUG08/97                                            
ACBAT3C     GHOAN   OK      AUG07/97                                            
ACBAT3D     GHOAN   OK      AUG08/97                                            
ACBAT3E     GHOAN   OK      AUG08/97                                            
ACBAT40     GHOAN   OK      AUG08/97                                            
ACBAT41     GHOAN   OK      AUG08/97                                            
ACBAT45     GHOAN   OK      AUG08/97                                            
ACBAT46     GHOAN   OK      AUG08/97                                            
ACBAT48     GHOAN   OK      AUG08/97                                            
ACBAT50     GHOAN   OK      AUG08/97                                            
ACBAT60     GHOAN   OK      AUG07/97                                            
ACBAT61     GHOAN   OK      AUG07/97                                            
ACBAT62     GHOAN   OK      AUG07/97                                            
ACBAT63     GHOAN   OK      AUG07/97                                            
ACBAT64     GHOAN   OK      AUG07/97                                            
ACBAT65     AHYDN   FX      DEC28/99                                            
ACBATCODE   GHOAN   OK      AUG07/97                                            
         EJECT                                                                  
************************************************************************        
*   $BILL PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACBIL00     RDESN   OK      JUL10/97                                            
ACBIL01     RDESN   OK      JUL10/97                                            
ACBIL02     RDESN   OK      JUL10/97                                            
ACBIL03     RDESN   OK      JUL10/97                                            
ACBIL04     RDESN   OK      JUL10/97                                            
ACBIL05     RDESN   OK      JUL10/97                                            
ACBIL06     RDESN   OK      JUL10/97                                            
ACBIL07     RDESN   OK      JUL10/97                                            
ACBIL08     RDESN   OK      JUL10/97                                            
ACBIL50     RDESN   OK      JUL10/97                                            
         EJECT                                                                  
************************************************************************        
*   $BUD  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACBUD00     LSTAN   FX      MAR17/98  These mods and budget elements            
ACBUD01     LSTAN   FX      MAR17/98  will need updates when we redo the        
ACBUD02     JSHAN   OK      DEC12/97  dates from 2000. The element data         
ACBUD03     LSTAN   FX      MAR17/98  uses: year*(12 or 13)+month-1             
                                      where year is year from 1900.             
ACBUDACC    JSHAN   OK      DEC22/97                                            
         EJECT                                                                  
************************************************************************        
*   $COST/TMS/CALENDAR PROGRAM                                         *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACCAP00     DCURN   OK      JUL29/97                                            
ACCAP02     DCURN   FX      JUL29/97  UK ALSO                                   
ACCAP04     DCURN   FX      JUL30/97  UK ALSO                                   
ACCAP05     DCURN   OK      JUL29/97                                            
ACCAP06     DCURN   OK      JUL31/97                                            
ACCAP07     DCURN   OK      JUL29/97                                            
ACCAP08     DCURN   OK      AUG01/97                                            
ACCAP0A     DCURN   OK      AUG01/97                                            
ACCAP10     DCURN   OK      AUG01/97                                            
ACCAP11     DCURN   OK      AUG01/97                                            
ACCAP14     DCURN   OK      JUL31/97                                            
ACCAP15     DCURN   OK      JUL31/97                                            
ACCAP16     DCURN   OK      AUG01/97                                            
ACCAP30     JSHAN   OK      DEC11/97                                            
ACCAP31     JSHAN   OK      DEC11/97                                            
ACCAP32     JSHAN   OK      DEC11/97                                            
ACCAP33     JSHAN   OK      DEC11/97                                            
ACCAP40     JSHAN   OK      DEC12/97                                            
ACCAP41     JSHAN   OK      DEC12/97                                            
ACCAP42     JSHAN   OK      DEC12/97                                            
ACCAP43     JSHAN   OK      DEC12/97                                            
         EJECT                                                                  
************************************************************************        
*   $CBIL PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACCLB00     AWILN   OK      DEC27/99                                            
ACCLB01     AWILN   OK      DEC27/99                                            
ACCLB02     AWILN   OK      DEC27/99                                            
ACCLB03     AWILN   OK      DEC27/99                                            
ACCLB04     AWILN   OK      DEC27/99                                            
ACCLB05     AWILN   OK      DEC28/99                                            
ACCLB06     AWILN   OK      DEC28/99                                            
